Argument ID,Aggregate rank,Mean rank,Rank annotator 1,Rank annotator 2,Rank annotator 3,Rank annotator 4,Rank annotator 5,Rank annotator 6,Rank annotator 7,Conclusion argument unit ID,Conclusion text,Number of premises,Corrected conclusion string,Corrected premises text,Premise 1 argument unit ID,Premise 1 text,Premise 2 argument unit ID,Premise 2 text,Premise 3 argument unit ID,Premise 3 text,Premise 4 argument unit ID,Premise 4 text,,,
3895,2,1.714285714,2,1,2,2,2,2,1,4249,It will have a drastic effect on manufacturing jobs in third world countries.,1,3d printing will have a drastic effect on manufacturing jobs in third world countries.,"3d printing is a very beneficial tool to society. However, many valid concerns have been raised about its future, which has lead to conflicting sides both with fair points.",4251,3D printing is a very beneficial tool to society however many valid concerns have been raised about its future which has lead to conflicting sides both with fair points.�, ,, ,, ,,,,
3892,1,1.285714286,1,2,1,1,1,1,2,4249,It will have a drastic effect on manufacturing jobs in third world countries.,1,3d printing will have a drastic effect on manufacturing jobs in third world countries.,3d printing will provide many jobs in a variety of different fields.,4247,It will provide many jobs in a variety of different fields, ,, ,, ,,,,
16349,2,1.714285714,2,1,1,2,2,2,2,25530,A court conceivably could find that the use of cluster bombs in such circumstances is a war crime,2,A court conceivably could find that the use of cluster bombs where civilians are present is a war crime.,The use of weapons to kill citizens is considered a war crime. If used where civilians are present the size of the area they attack and the difficulty of directing them reliably mean that civilian casualties - sometimes substantial casualties - are foreseeable.,25531,If used where civilians are present the size of the area they attack and the difficulty of directing them reliably mean that civilian casualties - sometimes substantial casualties - are foreseeable,25532,The use of weapons to kill citizens is considered a war crime, ,, ,,,,
16981,1,1.285714286,1,2,2,1,1,1,1,25530,A court conceivably could find that the use of cluster bombs in such circumstances is a war crime,3,A court conceivably could find that the use of cluster bombs where civilians are present is a war crime.,"The ICC treaty outlaws attacks on military targets that cause clearly excessive harm to civilians. If used where civilians are present, the size of the area they attack and the difficulty of directing them reliably mean that civilian casualties - sometimes substantial casualties - are foreseeable. If it is foreseeable that using a certain type of weapon on military targets will cause civilian casualties and sometimes cause substantial civilian casualties, and if the ICC treaty outlaws such use of weapons, a court could conceivably find that such use is a war crime.",26964,The ICC treaty outlaws attacks on military targets that cause  clearly excessive  harm to civilians.,26965,If it is foreseeable that using a certain type of weapon on military targets will cause civilian casualties and sometimes cause substantial civilian casualties and if the ICC treaty outlaws such use of weapons a court could conceivably find that such use is a war crime.,25531,If used where civilians are present the size of the area they attack and the difficulty of directing them reliably mean that civilian casualties - sometimes substantial casualties - are foreseeable, ,,,,
88,3,3,3,3,3,3,3,3,3,162,polished interface is not everything we want in a phone,1,A polished interface is not everything we want in a phone.,Thank you for saying that there's more to life than just the iPhone.,163,"Agreed, and thank you for saying that there's more to life than just the iPhone.", ,, ,, ,,,,
1081,2,1.857142857,2,2,2,1,2,2,2,162,polished interface is not everything we want in a phone,1,A polished interface is not everything we want in a phone.,I find the iPhone's sexy UI to be gimicky and a waste of CPU resources.,1097,I find the iphone's sexy UI to be gimicky and a waste of CPU resources., ,, ,, ,,,,
1328,1,1.142857143,1,1,1,2,1,1,1,162,polished interface is not everything we want in a phone,1,A polished interface is not everything we want in a phone.,I find the iPhone's sexy UI to be gimicky and a waste of CPU resources. The simplicity of Android and its ability to multitask make the iPhone a useless toy. Even the oldest smartphone of them all -- the blackberry -- can multitask.,128,I find the iphone's sexy UI to be gimicky and a waste of CPU resources. The simplicity of android and its ability to multitask make the iphone a useless toy. Heck even the oldest smartphone of them all the Blackberry can multitask., ,, ,, ,,,,
854,1,1.142857143,2,1,1,1,1,1,1,947,I'll start with my primary assertion: that a tweet is fundamentally valueless.,1,A tweet is fundamentally valueless.,It's not valueless: the people in Iran protesting the elections used Twitter to communicate where to go for help since hospitals betrayed them to the authorities.,5,3.it's not valueless: the people in Iran protesting the elections used twitter to communicate where to go for help since hospitals betrayed them to the authorities, ,, ,, ,,,,
1585,4,3.571428571,3,4,4,2,4,4,4,947,I'll start with my primary assertion: that a tweet is fundamentally valueless.,1,A tweet is fundamentally valueless.,"There's mathematical proof that the value of Twitter is zero. To paraphrase Douglas Adams: The number of tweets generated is infinite (since many/most are generated automatically, we can assume this will only continue and grow exponentially to be an infinite number). The number of valuable tweets is finite. Any finite number divided by infinity is zero (or a number infinitesimally larger than, but never equal to, zero, or f/i=1/i).",308,"And there's mathematical proof that the value of Twitter is zero. To paraphrase Douglas Adams: The number of Tweets generated is infinite (since many/most are generated automatically, we can assume this will only continue and grow exponentially to be an infinite number). The number of valuable Tweets is finite. Any finite number divided by infinity is zero (or a number infinitesimally larger than, but never equal to, zero, or f/I=1/I).", ,, ,, ,,,,
1745,3,3.142857143,4,2,3,4,3,3,3,947,I'll start with my primary assertion: that a tweet is fundamentally valueless.,1,A tweet is fundamentally valueless.,"Tweets are valuable because they stay true to one point, and don't let users ramble on. I can see why twitter wasn't working out for you.",111,"Dude, tweets are valuable because they stay true to one point, and don't let users ramble on. I can see why Twitter wasn't working out for you.", ,, ,, ,,,,
