Argument Unit ID,Corpus Name,AIFdb Unit ID,AIFdb Map ID  
1,looc1,51799,3082
1,looc1,51799,2829
1,looc1,51799,2906
2,looc1,51814,3082
2,looc1,51814,2948
2,looc1,51814,2884
2,looc1,51814,2831
2,looc1,51814,3003
2,looc1,51814,3070
2,looc1,51814,3064
2,looc1,51814,2934
2,looc1,51814,2838
2,looc1,51814,2906
2,looc1,51814,3029
2,looc1,51814,2881
3,looc1,58558,3846
4,looc1,58560,3846
5,looc1,59072,4196
5,looc1,59072,4140
5,looc1,59072,3919
6,looc1,60656,4196
6,looc1,58779,4014
6,looc1,58779,3921
6,looc1,58779,3887
6,looc1,58779,3888
6,looc1,58779,3925
6,looc1,58779,4007
6,looc1,58779,3883
6,looc1,58779,3924
6,looc1,60656,4302
6,looc1,58779,3912
6,looc1,58779,3928
6,looc1,58779,3967
6,looc1,60656,4205
6,looc1,58779,4008
6,looc1,60656,4249
6,looc1,58779,3985
6,looc1,58779,3920
6,looc1,60656,4239
6,looc1,60656,4168
6,looc1,58779,3908
6,looc1,58779,3926
6,looc1,58779,3901
6,looc1,60656,4178
6,looc1,58779,3916
6,looc1,60656,4192
6,looc1,58779,4039
6,looc1,58779,3915
6,looc1,60656,4199
6,looc1,58779,3919
7,looc1,51835,3018
7,looc1,51835,3067
7,looc1,51835,2834
7,looc1,51835,2928
8,looc1,53048,3018
9,looc1,58808,4074
9,looc1,58808,3886
9,looc1,58808,4120
9,looc1,58808,4229
10,looc1,59308,4074
10,looc1,59308,4163
10,looc1,59308,3994
10,looc1,59308,4110
10,looc1,59308,4057
10,looc1,59308,3989
10,looc1,59308,4195
10,looc1,59308,4040
10,looc1,59308,4151
10,looc1,59308,4104
10,looc1,59308,3977
10,looc1,59308,3950
10,looc1,59308,4026
10,looc1,59308,4015
10,looc1,59308,3979
10,looc1,59308,3990
10,looc1,59308,4202
10,looc1,59308,4135
10,looc1,59308,3984
10,looc1,59308,3980
10,looc1,59308,4119
10,looc1,59308,4095
10,looc1,59308,3960
10,looc1,59308,4087
10,looc1,59308,4012
10,looc1,59308,4020
10,looc1,59308,4109
10,looc1,59308,4063
10,looc1,59308,4062
10,looc1,59308,3982
11,looc1,58856,3943
11,looc1,58856,3892
12,looc1,59254,3943
13,looc1,49717,2495
14,looc1,49719,2495
14,looc1,49719,2693
15,looc1,56267,3497
15,looc1,56267,3569
16,looc1,56269,3497
16,looc1,56269,3626
16,looc1,56269,3775
16,looc1,56269,3822
16,looc1,56269,3569
17,looc1,56665,3803
17,looc1,56665,3673
17,looc1,56665,3837
17,looc1,56665,3849
17,looc1,56665,3771
17,looc1,56665,3543
17,looc1,56665,3739
18,looc1,58300,3803
19,looc1,51850,2836
19,looc1,51850,2994
19,looc1,51850,2874
19,looc1,51850,3047
19,looc1,51850,2854
19,looc1,51850,3092
20,looc1,51852,2836
20,looc1,51852,2987
20,looc1,51852,3047
21,looc1,49213,2423
21,looc1,49213,2425
22,looc1,49215,2423
23,looc1,58797,4030
23,looc1,58797,3907
23,looc1,58797,3909
23,looc1,58797,3885
23,looc1,58797,3893
23,looc1,58797,4173
23,looc1,58797,3911
24,looc1,58866,4030
24,looc1,58866,4287
24,looc1,58866,4076
24,looc1,58866,4250
24,looc1,58866,3893
24,looc1,58866,4173
25,looc1,58883,4244
25,looc1,58883,3895
26,looc1,61104,4244
26,looc1,61104,4299
27,looc1,56416,3798
27,looc1,56416,3619
27,looc1,56416,3604
27,looc1,56416,3768
27,looc1,56416,3514
27,looc1,56416,3816
28,looc1,57188,3798
28,looc1,57188,3619
29,looc1,56079,3475
30,looc1,56081,3475
30,looc1,56081,3607
30,looc1,56081,3879
30,looc1,56081,3772
31,looc1,51507,2806
31,looc1,51507,3091
31,looc1,51507,2996
31,looc1,51507,2938
31,looc1,51507,2832
31,looc1,51507,2802
31,looc1,51507,3028
31,looc1,51507,2860
31,looc1,51507,3056
31,looc1,51507,2922
31,looc1,51507,2948
31,looc1,51507,2833
31,looc1,51507,2932
31,looc1,51507,2956
31,looc1,51507,2843
31,looc1,51507,2929
31,looc1,51507,2924
31,looc1,51507,2931
31,looc1,51507,2862
31,looc1,51507,3053
31,looc1,51507,2945
31,looc1,51507,2919
31,looc1,51507,2957
31,looc1,51507,2940
31,looc1,51507,2831
31,looc1,51507,2855
31,looc1,51507,2947
31,looc1,51507,2925
31,looc1,51507,2969
31,looc1,51507,2805
31,looc1,51507,3087
31,looc1,51507,2824
31,looc1,51507,2950
31,looc1,51507,3085
31,looc1,51507,3005
31,looc1,51507,3017
31,looc1,51507,2817
31,looc1,51507,2913
31,looc1,51507,2993
31,looc1,51507,2971
31,looc1,51507,2959
31,looc1,51507,2941
31,looc1,51507,2828
31,looc1,51507,2985
31,looc1,51507,2962
31,looc1,51507,2858
31,looc1,51507,2978
31,looc1,51507,2965
31,looc1,51507,2793
31,looc1,51507,2944
31,looc1,51507,2830
31,looc1,51507,2967
31,looc1,51507,3030
31,looc1,51507,2951
31,looc1,51507,3002
31,looc1,51507,2946
31,looc1,51507,2794
31,looc1,51507,2954
31,looc1,51507,2795
31,looc1,51507,3015
31,looc1,51507,3008
31,looc1,51507,3012
31,looc1,51507,2812
31,looc1,51507,2846
31,looc1,51507,2917
31,looc1,51507,2851
31,looc1,51507,3060
31,looc1,51507,2955
31,looc1,51507,2984
31,looc1,51507,2822
31,looc1,51507,2939
31,looc1,51507,2803
32,looc1,51615,2806
33,looc1,58938,4242
33,looc1,58938,4226
33,looc1,58938,3904
33,looc1,58938,3902
33,looc1,58938,4261
